secteur,score,ecart,basis_data,added_datas
REALISE_TOTAL_FFL,0.8095691543552004,0.0168662144103347,A_WD_M_,FPT
REALISE_TOTAL_FRAIS,0.294222113456114,0.3601328423964197,A_WD_M_,FT
REALISE_TOTAL_GEL,0.714890948660881,0.1311154456394752,A_WD_M_,FPV
