,Nom,Train_score,Test_score,Ecart
6,FPT,0.8364927888241205,0.7985513935609391,0.03794139526318141
1,FPTV,0.8496448924344596,0.797551923478131,0.052092968956328645
3,FP,0.8316278393770444,0.787261092095824,0.044366747281220476
7,FPV,0.8462075391342565,0.785553426343947,0.06065411279030952
4,FT,0.7947031667373352,0.7843125338068625,0.01039063293047271
8,FTV,0.818932349607693,0.7792507302793706,0.03968161932832237
2,F,0.7824796888376431,0.7725997148067705,0.009879974030872596
5,FV,0.8121900336020599,0.7701677442437775,0.04202228935828234
12,PTV,0.7900550797214511,0.7513896751611597,0.03866540456029133
11,PV,0.7794154357138731,0.7420812034855597,0.037334232228313335
10,PT,0.7679196640926493,0.7383277184860595,0.029591945606589842
13,T,0.7148325325041993,0.7370823311945478,-0.022249798690348488
14,TV,0.7502711000584066,0.7344405908917001,0.015830509166706475
9,P,0.7541478423823141,0.7322402788912522,0.021907563491061932
0,No Added Datas,0.6914700271810555,0.7308152459515702,-0.03934521877051467
15,V,0.7387485560321849,0.7192253971746603,0.019523158857524647
