,Nom,Train_score,Test_score,Ecart
6,FPT,0.8264353687655351,0.8095691543552004,0.016866214410334757
3,FP,0.8207695919257598,0.8045788428578332,0.016190749067926613
1,FPTV,0.8431296939789646,0.8031358895876718,0.03999380439129285
4,FT,0.7804027273500621,0.794809992122844,-0.01440726477278187
7,FPV,0.8389246287445622,0.7935756097288961,0.045349019015666125
2,F,0.7602187778485446,0.7910625254758091,-0.030843747627264495
8,FTV,0.8075493602079683,0.7850022030371124,0.02254715717085587
5,FV,0.795948980564777,0.7783927562113684,0.017556224353408645
12,PTV,0.7816466085476977,0.7523934071034023,0.02925320144429544
11,PV,0.7708702391964833,0.7469731222943119,0.023897116902171445
10,PT,0.7493302051375182,0.7449116721607938,0.004418532976724454
9,P,0.7368322086259033,0.7445417598073065,-0.0077095511814032625
14,TV,0.7291221002817985,0.7432030285089528,-0.014080928227154343
15,V,0.7104481506563989,0.7336922873996488,-0.023244136743249877
0,No Added Datas,0.6176586765776683,0.7250729356824339,-0.10741425910476565
13,T,0.6756573791984839,0.7187517883492016,-0.043094409150717716
