ANNEE,REALISE_TOTAL_FRAIS,REALISE_TOTAL_GEL,REALISE_TOTAL_FFL,month_period,dernier_jour_ferie,prochain_jour_ferie,NETTO,GEL,no_dlc,no_code,AFG, 46-001,comp,OPE,INTER, 47-001,PUB,SEC,AFS, 41/52-001,FRAIS,TD,AFF, 43/45/67-001,MEA, 48-001,DLC Longue,TA, 43-002,DLC Courte, 49-004, 49-001, 43-007, 49-007, 49-002,REA, 40-001/41-018, 10-016/40-012/41-006, 41-011/43-019,weekday_sin,weekday_cos,monthday_sin,monthday_cos,mois_sin,mois_cos,semaine_sin,semaine_cos,Temp moy Auvergne,Temp moy Bourgogne,Sem Juin,Sem aout,Sem dec,vacances_zone_a,vacances_zone_b,vacances_zone_c,nom_vacances_Ascen,nom_vacances_halloween,nom_vacances_spring,nom_vacances_summer,nom_vacances_winter,nom_vacances_xmas,to_holydays_a,to_holydays_b,to_holydays_c,from_holydays_a,from_holydays_b,from_holydays_c
1,116882.0,12080.0,23497.0,0,-10,16,29,60,146,52,14,6,70,58,61,8,20,59,38,30,30,29,38,17,32,8,20,9,4,14,7,5,2,2,1,0,0,0,0,0.4338837391175582,-0.900968867902419,0.1011683219874327,-0.994869323391895,0.8660254037844387,-0.4999999999999998,0.9618256431728192,-0.2736629900720826,10.456666666666669,10.165,0,0,0,1,0,0,0,0,1,0,0,0,0,9,2,0,39,46
1,111215.0,13200.0,27838.0,0,-11,15,29,60,146,52,14,6,70,58,61,8,20,59,38,30,30,29,38,17,32,8,20,9,4,14,7,5,2,2,1,0,0,0,0,-0.433883739117558,-0.9009688679024191,-0.101168321987432,-0.9948693233918952,0.8660254037844387,-0.4999999999999998,0.9618256431728192,-0.2736629900720826,11.968333333333334,11.353333333333332,0,0,0,1,0,0,0,0,1,0,0,0,0,8,1,0,40,47
1,79855.0,8864.0,20242.0,0,-12,14,29,60,146,52,14,6,70,58,61,8,20,59,38,30,30,29,38,17,32,8,20,9,4,14,7,5,2,2,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,-0.2993631229733582,-0.9541392564000488,0.8660254037844387,-0.4999999999999998,0.9618256431728192,-0.2736629900720826,11.148333333333332,11.393333333333333,0,0,0,1,0,1,0,0,1,0,0,0,0,7,0,0,41,0
1,92197.0,10732.0,18375.0,0,-14,12,27,60,144,52,14,6,69,55,60,8,18,59,38,30,61,26,35,16,32,8,16,9,4,14,7,3,2,2,1,0,0,0,0,0.0,1.0,-0.651372482722222,-0.7587581226927911,0.8660254037844387,-0.4999999999999998,0.9209055179449536,-0.3897858732926793,11.633333333333333,11.92,0,0,0,1,0,1,0,0,1,0,0,0,0,5,0,0,43,0
1,104890.0,12592.0,16870.0,0,-15,11,31,63,160,58,16,7,71,64,66,9,26,67,42,33,65,29,39,17,33,9,18,10,4,16,8,4,3,2,1,0,0,0,0,0.7818314824680298,0.6234898018587336,-0.7907757369376986,-0.6121059825476627,0.8660254037844387,-0.4999999999999998,0.9209055179449536,-0.3897858732926793,12.626666666666663,13.161666666666669,0,0,0,1,0,1,0,0,1,0,0,0,0,4,0,0,44,0
1,101179.0,13926.0,18284.0,0,-16,10,31,63,160,58,16,7,71,64,66,9,26,67,42,33,65,29,39,17,33,9,18,10,4,16,8,4,3,2,1,0,0,0,0,0.9749279121818236,-0.2225209339563143,-0.8978045395707417,-0.4403941515576342,0.8660254037844387,-0.4999999999999998,0.9209055179449536,-0.3897858732926793,13.543333333333331,13.611666666666665,0,0,0,1,0,1,0,0,1,0,0,0,0,3,0,0,45,0
1,115961.0,12366.0,26885.0,0,-17,9,31,63,160,58,16,7,71,64,66,9,26,67,42,33,65,29,39,17,33,9,18,10,4,16,8,4,3,2,1,0,0,0,0,0.4338837391175582,-0.900968867902419,-0.968077118866204,-0.2506525322587213,0.8660254037844387,-0.4999999999999998,0.9209055179449536,-0.3897858732926793,14.225,14.23166666666667,0,0,0,1,0,1,0,0,1,0,0,0,0,2,0,0,46,0
1,106902.0,11160.0,29417.0,0,-18,8,31,63,162,58,16,7,72,65,67,9,26,67,42,33,68,30,40,18,33,9,18,10,4,16,8,4,3,2,1,0,0,0,0,-0.433883739117558,-0.9009688679024191,-0.9987165071710528,-0.0506491688387135,0.8660254037844387,-0.4999999999999998,0.9209055179449536,-0.3897858732926793,13.965000000000002,13.155,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,47,0
1,85437.0,11834.0,18628.0,0,-19,7,31,63,162,58,16,7,72,65,67,9,26,67,42,33,68,30,40,18,33,9,18,10,4,16,8,4,3,2,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,-0.9884683243281114,0.1514277775045766,0.8660254037844387,-0.4999999999999998,0.9209055179449536,-0.3897858732926793,13.453333333333331,12.570000000000002,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
1,97722.0,15767.0,21162.0,2,-21,5,31,63,160,58,16,7,71,64,66,9,26,67,42,33,65,29,39,17,33,9,18,10,4,16,8,4,3,2,1,0,0,0,0,0.0,1.0,-0.8486442574947509,0.5289640103269624,0.8660254037844387,-0.4999999999999998,0.8660254037844386,-0.5000000000000002,11.18,10.908333333333331,0,0,0,0,1,1,0,0,1,0,0,0,17,0,0,1,0,0
1,129235.0,17105.0,18850.0,2,-22,4,36,34,186,68,17,8,79,76,77,9,34,77,51,40,78,34,45,20,37,11,22,11,5,18,9,5,3,2,1,0,0,0,0,0.7818314824680298,0.6234898018587336,-0.72479278722912,0.6889669190756865,0.8660254037844387,-0.4999999999999998,0.8660254037844386,-0.5000000000000002,11.133333333333333,10.29,0,0,0,0,1,1,0,0,1,0,0,0,16,0,0,2,0,0
1,150425.0,14639.0,24163.0,2,-23,3,36,34,186,68,17,8,79,76,77,9,34,77,51,40,78,34,45,20,37,11,22,11,5,18,9,5,3,2,1,0,0,0,0,0.9749279121818236,-0.2225209339563143,-0.5712682150947924,0.8207634412072763,0.8660254037844387,-0.4999999999999998,0.8660254037844386,-0.5000000000000002,10.39,9.545,0,0,0,0,1,1,0,0,1,0,0,0,15,0,0,3,0,0
